epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.41,1.51628,1.2422,1.15766,0.70787,0.37398,0.40645,0.19569,1.54329,0.89662,1.10247,0.0033308,0.0033308,0.0033308
2,674.885,1.47028,0.94685,1.12047,0.60698,0.39416,0.44592,0.21128,1.54626,0.92671,1.10049,0.00653218,0.00653218,0.00653218
3,1001.34,1.49465,0.98093,1.14161,0.55103,0.4405,0.44205,0.20708,1.56557,0.93727,1.12236,0.00960157,0.00960157,0.00960157
4,1327.31,1.50971,0.98944,1.149,0.52265,0.46343,0.46277,0.22626,1.51693,0.90249,1.11105,0.009406,0.009406,0.009406
5,1652.25,1.47807,0.94454,1.13785,0.62439,0.44288,0.49715,0.2472,1.49216,0.8597,1.10358,0.009208,0.009208,0.009208
6,1976.47,1.45295,0.90935,1.12562,0.68149,0.4452,0.51949,0.25484,1.46491,0.83894,1.08434,0.00901,0.00901,0.00901
7,2300.69,1.42992,0.88155,1.1169,0.77301,0.4829,0.56136,0.28225,1.4382,0.81441,1.07234,0.008812,0.008812,0.008812
8,2623.95,1.40884,0.85656,1.10846,0.75152,0.50916,0.56823,0.28707,1.42275,0.80413,1.07297,0.008614,0.008614,0.008614
9,2948.93,1.3962,0.84111,1.10415,0.75804,0.53704,0.60063,0.30868,1.3997,0.76406,1.0617,0.008416,0.008416,0.008416
10,3275.6,1.3799,0.82458,1.09604,0.78889,0.52528,0.60192,0.30745,1.38778,0.75508,1.05837,0.008218,0.008218,0.008218
11,3602.71,1.36822,0.80951,1.08998,0.80553,0.52972,0.61881,0.32107,1.37652,0.73944,1.0516,0.00802,0.00802,0.00802
12,3928.35,1.35691,0.79756,1.08558,0.77688,0.55664,0.62687,0.32805,1.36372,0.7258,1.04401,0.007822,0.007822,0.007822
13,4250.25,1.3449,0.78387,1.07835,0.81173,0.54918,0.63686,0.33626,1.34503,0.7091,1.03772,0.007624,0.007624,0.007624
14,4570.47,1.332,0.7713,1.07301,0.81805,0.56511,0.67174,0.35394,1.3412,0.69649,1.03711,0.007426,0.007426,0.007426
15,4889.87,1.32522,0.76249,1.06977,0.81388,0.57274,0.67871,0.35718,1.32353,0.68805,1.0303,0.007228,0.007228,0.007228
16,5209.85,1.31488,0.75378,1.06578,0.82078,0.57094,0.70319,0.37255,1.31621,0.67357,1.02605,0.00703,0.00703,0.00703
17,5531.04,1.30702,0.7457,1.06347,0.83297,0.58229,0.71936,0.37748,1.31414,0.67226,1.02288,0.006832,0.006832,0.006832
18,5851.75,1.29765,0.73749,1.05887,0.825,0.58874,0.7026,0.38776,1.29468,0.66053,1.01946,0.006634,0.006634,0.006634
19,6172.94,1.28516,0.72677,1.05592,0.8235,0.60397,0.70987,0.3839,1.29273,0.64963,1.01641,0.006436,0.006436,0.006436
20,6494.21,1.27602,0.71294,1.05025,0.84078,0.59868,0.72813,0.39589,1.28086,0.64422,1.01348,0.006238,0.006238,0.006238
21,6817.19,1.27247,0.71134,1.04763,0.83946,0.61296,0.71878,0.39473,1.27292,0.63467,1.00838,0.00604,0.00604,0.00604
22,7140.11,1.26331,0.704,1.04617,0.81898,0.6184,0.72363,0.40261,1.26585,0.63048,1.00742,0.005842,0.005842,0.005842
23,7464.13,1.25584,0.69497,1.04093,0.71344,0.71061,0.73388,0.40327,1.25589,0.62282,1.00242,0.005644,0.005644,0.005644
24,7787.6,1.24922,0.68916,1.03842,0.84459,0.6234,0.75181,0.41293,1.249,0.61611,1.00117,0.005446,0.005446,0.005446
25,8112.96,1.24036,0.68076,1.03612,0.81024,0.68664,0.75134,0.41538,1.24068,0.61007,0.99685,0.005248,0.005248,0.005248
26,8436.62,1.23018,0.674,1.03154,0.79965,0.69042,0.75827,0.41899,1.23347,0.60392,0.9964,0.00505,0.00505,0.00505
27,8760.6,1.2264,0.67,1.02913,0.82734,0.6789,0.76129,0.42291,1.22788,0.59628,0.99355,0.004852,0.004852,0.004852
28,9087.35,1.21843,0.66189,1.02698,0.77723,0.71955,0.78067,0.43301,1.222,0.5916,0.9913,0.004654,0.004654,0.004654
